ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
72,Predominantly breastfeeding (0 to 5 months),Predominant Breastfeeding,Percentage of infants 0–5 months of age who are predominantly breastfed,Proportion,Infants 0–5 months of age who received breast milk as the predominant source of nourishment during the previous day,Infants 0-5 months,,Infant and Young Child Feeding,Breastfeeding,BF_PRED_BF,NT_BF_PRED_BF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 11 months,"Predominantly breastfed infants may have been fed water-based liquids (e.g. plain water, juice and juice drinks, sugar water, etc.) in addition to breastmilk.  These infants would not have received milk based-liquids or food.",Active,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
73,"Introduction of Solid, Semi-Solid or Soft Foods (6-8 months)","Introduction of solid, semi-solid or soft foods","Percentage of infants 6–8 months of age who receive solid, semi-solid or soft foods",Proportion,"Infants 6-8 months of age who consumed solid, semi-solid and soft foods during the previous day",Infants 6-8 months of age,Based on food list,Infant and Young Child Feeding,Complementary Feeding,CF_ISSSF_FL,NT_CF_ISSSF_FL,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 8 months,Crude Country Weighted Aggregation,6 to 8 months,,Active,,,pop_month_6_8,"Division of Analysis, Planning and Monitoring, UNICEF"
74,"Introduction to Solid, Semi-Solid Foods (Based on Number of Times Fed, 6 to 8 months)",,"Percentage of infants 6–8 months of age who receive solid, semi-solid or soft foods based on the number of times fed",Proportion,"Infants 6-8 months of age who received solid, semi-solid and soft foods during the previous day based on the number of times fed",Infants 6-8 months of age,based on number of times fed,Infant and Young Child Feeding,Complementary Feeding,CF_ISSSF_NUM,NT_CF_ISSSF_NUM,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Not Applicable,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
75,Minimum Dietary Diversity (6-23 months),Minimum Diet Diversity,Percentage of children 6–23 months of age who consumed foods and beverages from at least five out of eight defined food groups during the previous day,Proportion,Children 6–23 months of age who consumed foods and beverages from at least five out of eight defined food groups during the previous day,Children 6-23 months of age,"The eight food groups are: (i) breastmilk; (ii) grains, roots and tubers; (iii) legumes and nuts; (iv) dairy products (infant formula, milk, yogurt, cheese); (v) flesh foods (meat, fish, poultry and liver/organ meats); (vi) eggs; (vii) vitamin-A rich fruits and vegetables; (viii) other fruits and vegetables.",Infant and Young Child Feeding,Complementary Feeding,CF_MDD,NT_CF_MDD,True,True,False,,True,1.14,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Active,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
76,"Minimum Meal Frequency (Breastfeeding, 6 to 23 months)",,Percentage of breastfed children 6-23 months of age who received a minimum meal frequency,Proportion,"Number of breastfed children 6–23 months of age who received solid, semi-solid or soft foods the minimum number of times or more during the previous day",Breastfed children aged 6-23 months,"Minimum is defined as: 2 times solid,semi-solid or soft foods for breastfed infants 6–8 months of age; 3 times solid, semi-solid or soft foods for breastfed children 9–23 months of age; and 4 times solid, semi-solid or soft foods and/or milk feeds for non-breastfed children 6–23 months of age.",Infant and Young Child Feeding,Complementary Feeding,CF_MMF_BF,NT_CF_MMF_BF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Not Applicable,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
77,"Minimum Meal Frequency (Non-Breastfeeding, 6 to 23 months)",,Percentage of non-breastfed children 6-23 months of age who received a minimum meal frequency,Proportion,"The number of non-breastfed children 6–23 months of age who received solid, semi-solid or soft foods or milk feeds the minimum number of times or more during the previous day.",Non-breastfed children aged 6-23 months,"Minimum is defined as: 2 times solid,semi-solid or soft foods for breastfed infants 6–8 months of age; 3 times solid, semi-solid or soft foods for breastfed children 9–23 months of age; and 4 times solid, semi-solid or soft foods and/or milk feeds for non-breastfed children 6–23 months of age.",Infant and Young Child Feeding,Complementary Feeding,CF_MMF_NOBF,NT_CF_MMF_NOBF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Not Applicable,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
78,Minimum Meal Frequency (6-23 months),Minimum Meal Frequency,"Percentage of children 6–23 months of age who consumed solid, semi-solid or soft foods (but also including milk feeds for non-breastfed children) at least the minimum number of times during the previous day",Proportion,"Children 6–23 months of age who consumed solid, semi-solid or soft foods at least the minimum number of times during the previous day",Children 6-23 months of age,"Minimum is defined as: 2 times solid,semi-solid or soft foods for breastfed infants 6–8 months of age; 3 times solid, semi-solid or soft foods for breastfed children 9–23 months of age; and 4 times solid, semi-solid or soft foods and/or milk feeds for non-breastfed children 6–23 months of age",Infant and Young Child Feeding,Complementary Feeding,CF_MMF,NT_CF_MMF,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Active,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
79,"Minimum Acceptable Diet (Breastfeeding, 6 to 23 months)",,Percentage of breastfed children 6-23 months of age who received a minimum acceptable diet,Proportion,Breastfed children 6-23 months of age who had at least the minimum dietary diversity and the minimum meal frequency during the previous day,Breastfed children aged 6-23 months,,Infant and Young Child Feeding,Complementary Feeding,CF_MAD_BF,NT_CF_MAD_BF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Not Applicable,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
80,"Minimum Acceptable Diet (Non-Breastfeeding, 6 to 23 months)",,Percentage of non-breastfed children 6-23 months of age who received a minimum acceptable diet,Proportion,Non-breastfed children 6-23 months of age who received at least two milk feedings and had at least the minimum dietary diversity not including milk feeds and the minimum meal frequency during the previous day,Non-breastfed children aged 6-23 months,,Infant and Young Child Feeding,Complementary Feeding,CF_MAD_NOBF,NT_CF_MAD_NOBF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Not Applicable,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
81,Minimum Acceptable Diet (6-23 months),Minimum Acceptable Diet,Percentage of children 6–23 months of age who consumed a minimum acceptable diet during the previous day.,Proportion,Children 6–23 months of age who consumed a minimum acceptable diet during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_MAD,NT_CF_MAD,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Active,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
82,Breastfeeding Area Graphs: Breastmilk and Complementary Feeding (0-23 months),Breastmilk and complementary foods (0-23 months),"Percentage of infants 0-23 months of age who received breastmilk and solid, semi-solid or soft foods",Proportion,"Number of infants 0-23 months of age who were fed breastmilk and solid, semi-solid or soft foods",Infants 0-23 months of age,"Any children who get complementary food are classified in this category as long as they are breastfeeding as well.
Oral rehydration salts, vitamins, minerals or medicines are not considered part of any feeding category.",Infant and Young Child Feeding,Breastfeeding,BF_AREA_0_23_BF_CF,NT_BF_AREA_0_23_BF_CF,False,False,False,,False,,False,True,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 23 months,Crude Country Weighted Aggregation,0 to 23 months,,Derived,,,pop_month_0_23,"Division of Analysis, Planning and Monitoring, UNICEF"
83,Ever Breastfed,,Percentage of children born in the last 24 months who were ever breastfed,Proportion,Children born in the last 24 months who were ever breastfed,Children born in the last 24 months,,Infant and Young Child Feeding,Breastfeeding,BF_EBF,NT_BF_EBF,True,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,All Births,Crude Country Weighted Aggregation,All Births,,Active,,,births,"Division of Analysis, Planning and Monitoring, UNICEF"
84,Continued Breastfeeding (12-23 months),Continued Breastfeeding 12-23 months,Percentage of children 12–23 months of age who were fed breast milk during the previous day,Proportion,Children 12-23 months of age who were fed breast milk during the previous day,Children 12-23 months of age,,Infant and Young Child Feeding,Breastfeeding,BF_CBF_12_23,NT_BF_CBF_12_23,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,12 to 23 months,Crude Country Weighted Aggregation,12 to 23 months,,Active,,,pop_month_12_23,"Division of Analysis, Planning and Monitoring, UNICEF"
85,"Wasted, Overweight or Stunted","Wasted, Overweight or Stunted (WHZ<-2SD AND WHZ >+2SD AND HAZ <-2SD)","Percentage of children under 5 years of age who either overweight, or stunted, or wasted from the median weight-for-height and height-for-age of the reference population",Proportion,Number of children under 5 falling outside -2 and +2 standard deviations from the median weight-for-height and falling below -2 standard deviations from the median weight-for-height and height-for-age of the reference population,Children under 5 years of age in the surveyed population,,Anthropometry,Child Anthropometry,ANT_COMB,NT_ANT_COMB,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
86,"No Wasting, Overweight, Stunting","No Wasting, Overweight, Stunting (WHZ≥-2 AND WHZ ≤+2 AND HAZ ≥-2)","Percentage of children under 5 years of age who neither overweight, nor stunted, nor wasted from the median weight-for-height and height-for-age of the reference population",Proportion,Number of children under 5 falling between -2 and +2 standard deviations from the median weight-for-height and falling at or above -2 standard deviations from the median weight-for-height and height-for-age of the reference population,Children under 5 years of age in the surveyed population,,Anthropometry,Child Anthropometry,ANT_FREE,NT_ANT_FREE,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
87,Annual two-dose VAS coverage (takes Semester 1 and 2 into account),Vitamin A Supplementation Two-Dose Coverage,The semester which achieved the lower VAS coverage for children aged 6-59 months in a given calendar year,Proportion,Number of children aged 6–59 months that received an age-appropriate dose of vitamin A through the main distribution mechanism in the semester with the lower coverage in the calendar year,Total population of children aged 6–59 months used to estimate coverage for the semester with the lower coverage value for the calendar year,"Only priority countries for national level programmes are included in this database

Main distribution mechanism is defined as the mechanism that achieved the highest coverage in the semester",Micronutrients,Vitamin A,VAS_TWODOSE,NT_VAS_TWODOSE,True,True,False,,True,,False,False,Nutridash,Other,6 to 59 months,Crude Country Weighted Aggregation,6 to 59 months,,Not Applicable,"Only priority countries for national level programmes are included in this database​​​
​",,pop_month_6_59,"Division of Analysis, Planning and Monitoring, UNICEF, Programme Division, UNICEF"
88,Prevalence of anaemia in women aged 15-49 (Modeled Estimates),Anaemia prevalence in women of reproductive age,"Percentage of women aged 15-49 years with a haemoglobin level less than 120 g/L for non-pregnant women and lactating women, and less than 110 g/L for pregnant women, adjusted for altitude and smoking",Proportion,Number of women aged 15-49 years with haemoglobin levels below the indicated cut-off adjusted for altitude and smoking,Total number of women aged 15-49 years with haemoglobin assessed,,Micronutrients,Anaemia,ANE_WOM_15_49_MOD,NT_ANE_WOM_15_49_MOD,True,False,True,2.2.3,True,1.12,False,False,,Other,Female 15 to 49 years,Crude Country Weighted Aggregation,,,Not Applicable,,,,World Health Organization
89,Anaemia prevalence in women aged 15-19 (Modeled Estimates),,"Percentage of women aged 15-19 years with a haemoglobin level less than 110 g/L , adjusted for altitude and smoking",Proportion,Number of women aged 15-19 years with haemoglobin levels below the indicated cut-off adjusted for altitude and smoking,Total number of women aged 15-19 years with haemoglobin assessed,,Micronutrients,Anaemia,ANE_WOM_15_19_MOD,NT_ANE_WOM_15_19_MOD,True,False,False,,True,1.21,False,False,,Other,Female 15 to 19 years,Crude Country Weighted Aggregation,,,Not Applicable,,,,World Health Organization
90,Prevalence of low birth weight among new-borns (Modeled Estimates),"Percentage of infants weighing less than 2,500 grams at birth",Percentage of live births under 2500 g out of the total number of live births during the same period.,Proportion,Number of live births with weight less than 2500 g,Total number of live births,"WHO defines low birth weight as less than 2500 g (5.5 lb)​

Survey data on low birth weight are limited since many infants in some low-income countries are born at home and not weighed at birth and even among those weighed some do not have a record of their borthweight or the caregiver is uable to recall the birthweight at time of survey intevriew. However, methods agreed upon by an inter-agency group have been applied to survey data to adjust for missing birthweights and data heaping. 

b-spline: data for countries with ≥8 data points from high coverage administrative sources with ≥1 prior to 2005 and ≥1 more recent than 2010, were smoothed with b-spline regression to generate annual LBW prevalence estimates that followed country-reported estimates very closely.

Hierarchical regression: data for countries not meeting requirements for b-spline but with ≥1 LBW country input data point were fitted into a model using a set of covariates to generate annual LBW prevalence estimates. The covariates included the natural log of neonatal mortality rate; the proportion of children underweight (weight for-age z score below minus two standard deviations from median weight for age of reference population); data type (high coverage administrative, low coverage administrative, household survey); UN region (e.g., Southern Asia, Caribbean); and a country-specific random effect.).  These estimates may vary substantially from those reported by countries.

Partial data: the estimate is based on only partial data for the most recent survey, therefore modelled estimates not shown for the individual country.",Anthropometry,Birthweight,BW_LBW_MOD,NT_BW_LBW_MOD,True,True,False,,False,,False,False,Low Birthweight Consultation,Other,All Births,Modelled,,,Derived,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization"
91,Height-for-age <-2SD but weight-for-height ≥-2SD and weight-for-height ≤2SD,Stunted Only,Percentage of children under 5 years of age who are stunted only from the median weight-for-height of the reference population,Proportion,Number of children under 5 falling below -2 standard deviations from the median height for age and falling at or above -2 standard deviations from the median weight-for-height of the reference population,Children under 5 years of age in the surveyed population,This is a derived indicator calculated by subtracting sum of the point estimate of stunted and overweight and the point estimate of stunted and wasted from the point of estimate of stunting (all children with valid HAZ),Anthropometry,Child Anthropometry,ANT_HAZ_NE2_ONLY,NT_ANT_HAZ_NE2_ONLY,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,0 to 59 months,,Derived,,,pop_month_0_59,"Division of Analysis, Planning and Monitoring, UNICEF"
92,Children without a birth weight,,Percentage of births without a recorded or reported birth weight,Proportion,Number of births without a recorded or reported birth weight,Number of births in the recall period,"Calculation: Numerator divided by denominator multiplied by 100
Handling of missing values: Included in denominator",Anthropometry,Birthweight,BW_UNW,NT_BW_UNW,True,True,False,,False,,False,False,Low Birthweight Consultation,Other,Live Births,Crude Country Weighted Aggregation,All Births,,Derived,"For DHS, the definition of included births changed in 2018, moving from all live births in the last five years to the most recent live-birth in the last five years. The MICS definition, most recent live birth in the last two years, has not changed.

The recall period can vary by survey. DHS recall period is typically five years, while for MICS it is usually two years.",,births,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization"
93,Percentage of children with SAM  who are admitted for treatment and default,,,Proportion,,,,Anthropometry,Severe Acute Malnutrition,SAM_TD,NT_SAM_TD,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Not Classified,,,Not Applicable,,,,"Programme Division, UNICEF"
94,Percentage of children with SAM who are admitted for treatment and recover,,,Proportion,,,,Anthropometry,Severe Acute Malnutrition,SAM_TR,NT_SAM_TR,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Not Classified,,,Not Applicable,,,,"Programme Division, UNICEF"
95,Total number of children with SAM  admitted for treatment,,,Number,,,,Anthropometry,Severe Acute Malnutrition,SAM_T,NT_SAM_T,False,False,False,,False,,False,False,Nutridash,Other,6 to 59 months,Not Classified,,,Not Applicable,,,,"Programme Division, UNICEF"
96,Percentage of pregnant women receiving iron and folic acid supplementation (90 or more days),Women with a birth in the past five years who took iron tables or syrup for 90+ days,Proportion of women with a birth in last 5 years who took iron tablets or syrup for 90 or more days during pregnancy of last birth.,Proportion,Number of women who took iron tablets or syrup for 90 or more days during the pregnancy of their last birth,Number of women with a birth in the 5 years preceding the survey,Missing values and “don’t know” on whether given iron tablets/syrup or missing and “don’t know” on number of days given iron tablets/syrup are included in a separate category.,Micronutrients,Anaemia,ANE_IFA_90_PLUS_PW,NT_ANE_IFA_90_PLUS_PW,False,False,False,,True,,False,False,External,Middle of Fieldwork,Female 15 to 49 years,Crude Country Weighted Aggregation,,,Not Applicable,"​From Guide to DHS Statistics

Sununtnasuk, C., A. D’Agostino, & J. Fiedler. 2016. “Iron folic acid distribution and consumption through antenatal care: Identifying barriers across countries.” Public Health Nutrition, 19(4), 732-742. doi:10.1017/S1368980015001652
https://www.cambridge.org/core/journals/public-health-nutrition/article/ironfolic-acid-distribution-and-consumption-through-antenatal-care-identifying-barriers-across-countries/B6645437C3E9493D83765E9AD862F21F#
WHO. 2016. WHO recommendations on antenatal care for a positive pregnancy experience. Geneva. http://www.who.int/nutrition/publications/guidelines/antenatalcare-pregnancy-positive-experience/en/",,,
97,"Prevalence of thinness among children aged 5-19 years, BMI < -2 standard deviations below the median (Crude estimate)",,"Proportion of defined population with a body mass index (BMI) less than 2 standard deviations below the median, according to the WHO references for school-age children and adolescents",Proportion,,,"Input data and methods are described here: NCD-RisC. Worldwide trends in body-mass index, underweight, overweight, and obesity from 1975 to 2016: a pooled analysis of 2416 population-based measurement studies with 128.9 million participants. Lancet 2017. DOI: http://dx.doi.org/10.1016/S0140-6736(17)32129-3.",Anthropometry,School-age Children and Adolescents Anthropometry,SANT_5_19_BAZ_NE2_MOD,NT_SANT_5_19_BAZ_NE2_MOD,False,False,False,,False,,False,False,External,Other,5 to 19 years,Not Classified,,,Not Applicable,,,,NCD-RiSC
98,"Prevalence of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (Crude estimate)",,"Proportion of overweight among children aged 5-19 years, BMI > +1 standard deviations above the median (crude estimate)",Proportion,,,"Input data and methods are described here: NCD-RisC. Worldwide trends in body-mass index, underweight, overweight, and obesity from 1975 to 2016: a pooled analysis of 2416 population-based measurement studies with 128.9 million participants. Lancet 2017. DOI: http://dx.doi.org/10.1016/S0140-6736(17)32129-3.",Anthropometry,School-age Children and Adolescents Anthropometry,SANT_5_19_BAZ_PO1_MOD,NT_SANT_5_19_BAZ_PO1_MOD,False,False,False,,False,,False,False,External,Other,5 to 19 years,Crude Country Weighted Aggregation,,,Not Applicable,,,,NCD-RiSC
99,"Food group- Grains, roots, tubers and plantains (6-23 months)",,"Percentage of children 6-23 months of age who consumed grains, roots, tubers and plantains during the previous day",Proportion,"Children 6-23 months of age who consumed grains, roots, tubers and plantains during the previous day",Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS,NT_CF_GRAINS,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
100,"Food group- Pulses (beans, peas, lentils), nuts and seeds (6-23 months)",,"Percentage of children 6-23months of age who consumed pulses (beans, peas, lentils), nuts and seeds during the previous day.",Proportion,"Children 6-23 months who consumed pulses (beans, peas, lentils), nuts and seeds during the previous day",Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES,NT_CF_LEGUMES,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
101,Food group- Vitamin-A rich fruits and vegetables (6-23months),,Percentage of children 6-23 months of age who consumed vitamin-A rich fruits and vegetables during the previous day,Proportion,Children 6-23 months of age who consumed vitamin-A rich fruits and vegetables during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA,NT_CF_VITA,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
102,Food group- Other fruits and vegetables (6-23months),,Percentage of children 6-23 months of age who consumed other fruits and vegetables during the previous day,Proportion,Children 6-23 months of age who consumed other fruits and vegetables during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_OTHER_FV,NT_CF_OTHER_FV,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
103,"Food group- Flesh foods (meat, poultry, fish and organ meats) (6-23 months)",,"Percentage of children 6-23 months of age who received flesh foods (meat, fish, poultry, organ meats) during the previous day",Proportion,"Children 6-23 months of age who consumed flesh foods (meat, fish, poultry, organ meats) during the previous day",Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_FF,NT_CF_FF,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
104,Food group- Eggs (6-23 months),,Percentage of children 6-23 months of age who consumed eggs during the previous day,Proportion,Children 6-23 months of age who consumed eggs during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_EGGS,NT_CF_EGGS,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
105,"Food group- Dairy (milk, infant formula, yogurt, cheese) (6-23 months)",,"Percentage of children 6-23 months of age who consumed dairy products (milk, infant formula, yogurt, cheese) during the previous day",Proportion,"Children 6-23 months of age who consumed dairy products (milk, infant formula, yogurt, cheese) during the previous day",Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_DAIRY,NT_CF_DAIRY,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
106,Food group- Breastmilk (6-23 months),,Percentage of children 6-23 months of age who consumed breastmilk during the previous day,Proportion,Children 6-23 months of age who consumed breastmilk during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_BREASTMILK,NT_CF_BREASTMILK,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
107,Egg and/or flesh foods consumption (6-23 months),Non-dairy animal source foods,Percentage of children 6-23 months of age who consumed eggs and/or flesh foods during the previous day,Proportion,Children 6-23 months of age who consumed eggs and/or flesh foods during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_ASF,NT_CF_ASF,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Active,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
108,Zero vegetable or fruit consumption (6-23 months),,Percentage of children 6-23 months of age who did not consume any fruits or vegetables during the previous day,Proportion,Children 6-23 months of age who did not consume any fruits or vegetables during the previous day,Children 6-23 months of age,,Infant and Young Child Feeding,Complementary Feeding,CF_ZEROFV,NT_CF_ZEROFV,True,True,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Crude Country Weighted Aggregation,6 to 23 months,,Active,,,pop_month_6_23,"Division of Analysis, Planning and Monitoring, UNICEF"
110,Infant formula consumption,,Percentage of infants 0-5 months of age who received infant formula during the previous day,Proportion,Infants 0-5 months of age who received infant formula yesterday,All infants 0-5 months of age,,Infant and Young Child Feeding,Breastfeeding,BF_FORMULA,NT_BF_FORMULA,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 5 months,Crude Country Weighted Aggregation,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
111,Percentage of children reported as having oedema,,Percentage of under-fives reported as having oedema,Proportion,Number of children with oedema,Children under 5 years of age in the surveyed population with valid BMI-for-age z-scores,,Anthropometry,Child Anthropometry,ANT_OED_U5,NT_ANT_OED_U5,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF, World Health Organization, World Bank"
112,Ages calculated using full birth information,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_AGE_FULL,NT_ANT_CHA_AGE_FULL,False,False,False,,False,,False,True,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
113,Ages calculated using CMCs,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_AGE_CMC,NT_ANT_CHA_AGE_CMC,False,False,False,,False,,False,True,SDG Country Consultation,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
114,Ages assigned using reported age in months,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_REPO,NT_ANT_CHA_REPO,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,
115,Ages calculated using date recovery,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_RECO,NT_ANT_CHA_RECO,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,
116,Ages assigned using age in days,,,Number,,,,Anthropometry,Child Anthropometry,ANT_CHA_AGEDAYS,NT_ANT_CHA_AGEDAYS,False,False,False,,False,,False,True,,Middle of Fieldwork,0 to 59 months,Not Aggregated,,,Not Applicable,,,,"Division of Analysis, Planning and Monitoring, UNICEF"
117,0 Food Group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_0,NT_CF_FG_0,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
118,1 Food Group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1,NT_CF_FG_1,False,False,False,,False,,False,False,Country Reporting and Validation Exercise (CRAVE),Middle of Fieldwork,6 to 23 months,Not Classified,0 to 11 months,,Derived,,,pop_month_0_11,"Division of Analysis, Planning and Monitoring, UNICEF"
